kata
anjing
sialan
bangsat
tai
tahi
pepek
mmk
memek
kontol
kntl
bajingan
bunuh
fuck
shit
bitch
ass
asshole
goblok
tolol
bego
idiot
keparat
jancok
cok
jancuk
asu
ngentot
entot
lonte
babi
monyet
kampret
setan
iblis
dajjal
peler
titit
itil
ngewe
ngaceng
coli
colmek
bacot
bangke
bego
bejad
bencong
jembut
meki
ngenthu
perek
sempak
sial
sinting
taek
jablay 
bct
pukimak
puki
jomok
itil
ajg
anjg 
mnyt 
